Umidade (%),Temperatura (°C)
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 0.00% / Temperatura: 0*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 69.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
Umidade: 70.00% / Temperatura: 28*C
